2026-08-16 20:21:10	[Main thread]	INFO	readr	cli_block	 [36m──[39m [1mColumn specification[22m [36m────────────────────────────────────────────────────────[39m cols(   checkLevel = [31mcol_character()[39m,   checkName = [31mcol_character()[39m,   checkDescription = [31mcol_character()[39m,   kahnContext = [31mcol_character()[39m,   kahnCategory = [31mcol_character()[39m,   kahnSubcategory = [31mcol_character()[39m,   sqlFile = [31mcol_character()[39m,   evaluationFilter = [31mcol_character()[39m,   severity = [31mcol_character()[39m ) 
2026-08-16 20:27:29	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: cdmDatatype
2026-08-16 20:27:29	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 400 An error report has been created at  dqd/raw/errors/FIELD_cdmDatatype_CONDITION_ERA_CONDITION_ERA_ID.txt
2026-08-16 20:27:29	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: CONDITION_ERA] [CDM Field: PERSON_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 393 An error report has been created at  dqd/raw/errors/FIELD_cdmDatatype_CONDITION_ERA_PERSON_ID.txt
2026-08-16 20:27:29	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 404 An error report has been created at  dqd/raw/errors/FIELD_cdmDatatype_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:27:29	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: cdmDatatype] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_OCCURRENCE_COUNT] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 410 An error report has been created at  dqd/raw/errors/FIELD_cdmDatatype_CONDITION_ERA_CONDITION_OCCURRENCE_COUNT.txt
2026-08-16 20:36:00	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isPrimaryKey
2026-08-16 20:36:00	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isPrimaryKey] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 475 An error report has been created at  dqd/raw/errors/FIELD_isPrimaryKey_CONDITION_ERA_CONDITION_ERA_ID.txt
2026-08-16 20:36:38	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isForeignKey
2026-08-16 20:36:38	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isForeignKey] [CDM Table: CONDITION_ERA] [CDM Field: PERSON_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 454 An error report has been created at  dqd/raw/errors/FIELD_isForeignKey_CONDITION_ERA_PERSON_ID.txt
2026-08-16 20:36:38	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isForeignKey] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 465 An error report has been created at  dqd/raw/errors/FIELD_isForeignKey_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:41:19	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkDomain
2026-08-16 20:41:19	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: fkDomain] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 474 An error report has been created at  dqd/raw/errors/FIELD_fkDomain_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:42:35	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: fkClass
2026-08-16 20:42:35	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: isStandardValidConcept
2026-08-16 20:42:35	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: isStandardValidConcept] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 407 An error report has been created at  dqd/raw/errors/FIELD_isStandardValidConcept_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:43:32	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: measureValueCompleteness
2026-08-16 20:43:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 403 An error report has been created at  dqd/raw/errors/FIELD_measureValueCompleteness_CONDITION_ERA_CONDITION_ERA_ID.txt
2026-08-16 20:43:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: PERSON_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 396 An error report has been created at  dqd/raw/errors/FIELD_measureValueCompleteness_CONDITION_ERA_PERSON_ID.txt
2026-08-16 20:43:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 407 An error report has been created at  dqd/raw/errors/FIELD_measureValueCompleteness_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:43:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 411 An error report has been created at  dqd/raw/errors/FIELD_measureValueCompleteness_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:43:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 409 An error report has been created at  dqd/raw/errors/FIELD_measureValueCompleteness_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:43:32	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: measureValueCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_OCCURRENCE_COUNT] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 413 An error report has been created at  dqd/raw/errors/FIELD_measureValueCompleteness_CONDITION_ERA_CONDITION_OCCURRENCE_COUNT.txt
2026-08-16 20:51:48	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: standardConceptRecordCompleteness
2026-08-16 20:51:48	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: standardConceptRecordCompleteness] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_CONCEPT_ID] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 475 An error report has been created at  dqd/raw/errors/FIELD_standardConceptRecordCompleteness_CONDITION_ERA_CONDITION_CONCEPT_ID.txt
2026-08-16 20:53:11	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceConceptRecordCompleteness
2026-08-16 20:53:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: sourceValueCompleteness
2026-08-16 20:54:36	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueLow
2026-08-16 20:54:36	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueLow] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 469 An error report has been created at  dqd/raw/errors/FIELD_plausibleValueLow_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:54:36	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueLow] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 467 An error report has been created at  dqd/raw/errors/FIELD_plausibleValueLow_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:54:36	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueLow] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_OCCURRENCE_COUNT] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 471 An error report has been created at  dqd/raw/errors/FIELD_plausibleValueLow_CONDITION_ERA_CONDITION_OCCURRENCE_COUNT.txt
2026-08-16 20:55:07	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleValueHigh
2026-08-16 20:55:07	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueHigh] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 424 An error report has been created at  dqd/raw/errors/FIELD_plausibleValueHigh_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:55:07	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleValueHigh] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 422 An error report has been created at  dqd/raw/errors/FIELD_plausibleValueHigh_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:55:51	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleTemporalAfter
2026-08-16 20:55:51	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleTemporalAfter] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 412 An error report has been created at  dqd/raw/errors/FIELD_plausibleTemporalAfter_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:55:51	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleTemporalAfter] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 410 An error report has been created at  dqd/raw/errors/FIELD_plausibleTemporalAfter_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:56:21	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleDuringLife
2026-08-16 20:56:21	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleDuringLife] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 482 An error report has been created at  dqd/raw/errors/FIELD_plausibleDuringLife_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:56:21	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: withinVisitDates
2026-08-16 20:56:21	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleAfterBirth
2026-08-16 20:56:21	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleAfterBirth] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 482 An error report has been created at  dqd/raw/errors/FIELD_plausibleAfterBirth_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:56:21	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleAfterBirth] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 480 An error report has been created at  dqd/raw/errors/FIELD_plausibleAfterBirth_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:57:09	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleBeforeDeath
2026-08-16 20:57:09	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleBeforeDeath] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 482 An error report has been created at  dqd/raw/errors/FIELD_plausibleBeforeDeath_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:57:09	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleBeforeDeath] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_END_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 480 An error report has been created at  dqd/raw/errors/FIELD_plausibleBeforeDeath_CONDITION_ERA_CONDITION_ERA_END_DATE.txt
2026-08-16 20:57:09	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleStartBeforeEnd
2026-08-16 20:57:10	[Main thread]	ERROR	DataQualityDashboard	3	[Level: FIELD] [Check: plausibleStartBeforeEnd] [CDM Table: CONDITION_ERA] [CDM Field: CONDITION_ERA_START_DATE] Error executing SQL: org.postgresql.util.PSQLException: ERROR: relation "ptbxl_view.condition_era" does not exist   Position: 482 An error report has been created at  dqd/raw/errors/FIELD_plausibleStartBeforeEnd_CONDITION_ERA_CONDITION_ERA_START_DATE.txt
2026-08-16 20:57:10	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGender
2026-08-16 20:57:16	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleGenderUseDescendants
2026-08-16 20:57:16	[Main thread]	INFO	DataQualityDashboard	FUN	Processing check description: plausibleUnitConceptIds
